0	event_type	dPSI_control	p_diffsplice	zsa
ENSMUSG00000000441;A3:6:115597308-115598777:115597288-115598777:-	A3	0.03165342003274685	0.4495504496	False
ENSMUSG00000000441;AF:6:115621603-115652650:115652925:115621603-115653197:115653596:-	AF	-0.003982645389325233	0.4495504496	False
ENSMUSG00000000441;RI:6:115597170:115597288-115598777:115598823:-	RI	6.144075377693334e-05	0.4495504496	False
ENSMUSG00000000441;SE:6:115603927-115607602:115607661-115608176:-	SE	0.0	0.4495504496	False
ENSMUSG00000000441;SE:6:115603927-115608176:115608329-115609858:-	SE	-6.144075377700897e-05	0.4495504496	False
ENSMUSG00000000568;A5:5:100109192-100109957:100109192-100109993:-	A5	0.4013308902675875	0.1293706294	False
ENSMUSG00000000568;AF:5:100115246-100124393:100124410:100115246-100126251:100126776:-	AF	0.07854038414674083	0.2181818182	False
ENSMUSG00000000568;SE:5:100109192-100109957:100110063-100110374:-	SE	0.014220857004202371	0.3136863137	False
ENSMUSG00000000568;SE:5:100109192-100109993:100110063-100110374:-	SE	-0.025644092248777117	0.2820512821	False
ENSMUSG00000000568;SE:5:100110471-100111590:100111736-100111843:-	SE	-0.1761006752756642	0.1293706294	False
ENSMUSG00000000568;SE:5:100114042-100115078:100115246-100126251:-	SE	-0.05968095098779935	0.2181818182	False
ENSMUSG00000000568;SE:5:100115246-100124393:100124449-100126251:-	SE	-0.0628716547896303	0.2181818182	False
ENSMUSG00000000787;RI:X:13153464:13153622-13153703:13153802:+	RI	-0.07389849436515855	0.1728271728	False
ENSMUSG00000000787;RI:X:13154518:13154603-13154812:13154910:+	RI	-0.005806768012186766	0.3506493506	False
ENSMUSG00000000827;A3:2:181144728-181149959:181144728-181149966:+	A3	0.007899165168297584	0.3811188811	False
ENSMUSG00000000827;SE:2:181139125-181141096:181141246-181141638:+	SE	-0.005393678352935267	0.3811188811	False
ENSMUSG00000000827;SE:2:181139125-181141638:181141783-181143698:+	SE	-0.03794604803144985	0.3516483516	False
ENSMUSG00000000827;SE:2:181143846-181144669:181144728-181149959:+	SE	0.11912695232394299	0.2584082584	False
ENSMUSG00000000827;SE:2:181150060-181152297:181152323-181153367:+	SE	0.15340670737630857	0.2584082584	False
ENSMUSG00000000827;SE:2:181150060-181153367:181153408-181154832:+	SE	-0.16040438535802704	0.2584082584	False
ENSMUSG00000001036;A5:11:61423518-61424397:61423518-61424415:-	A5	-0.002411897456972678	0.3981018981	False
ENSMUSG00000001036;AF:11:61426209-61434984:61435139:61426209-61436976:61437368:-	AF	-0.008705764875402089	0.3981018981	False
ENSMUSG00000001036;MX:11:61437737-61438696:61438809-61470393:61437737-61456648:61456720-61470393:-	MX	0.04401316639836264	0.3981018981	False
ENSMUSG00000001036;SE:11:61424507-61425404:61425439-61426097:-	SE	-0.05272060266916584	0.3981018981	False
ENSMUSG00000001036;SE:11:61426209-61434984:61435154-61436976:-	SE	-0.029536646538994293	0.3981018981	False
ENSMUSG00000001036;SE:11:61437737-61438696:61438809-61470393:-	SE	0.008162056504622737	0.3981018981	False
ENSMUSG00000001036;SE:11:61437737-61438834:61438868-61456648:-	SE	0.033695747403378884	0.3981018981	False
ENSMUSG00000001036;SE:11:61437737-61456648:61456720-61470393:-	SE	-0.04346493171400359	0.3981018981	False
ENSMUSG00000001036;SE:11:61438868-61444336:61444405-61456648:-	SE	0.022912505307711883	0.3981018981	False
ENSMUSG00000001103;A5:11:78394411-78394565:78394403-78394565:+	A5	0.038663407836572086	0.2007992008	False
ENSMUSG00000001175;AF:12:100165694:100165975-100168652:100166403:100166564-100168652:+	AF	0.006029995367940466	0.3701298701	False
ENSMUSG00000001289;A5:15:102235284-102236957:102234970-102236957:+	A5	0.0993821083012771	0.2985014985	False
ENSMUSG00000001289;AF:15:102234583:102234695-102235253:102234845:102234970-102235253:+	AF	-0.0010211834087797654	0.4235764236	False
ENSMUSG00000001289;AF:15:102234624:102234695-102236957:102234818:102234970-102236957:+	AF	0.4089690870111835	0.2985014985	False
ENSMUSG00000001289;MX:15:102234695-102234868:102234970-102236957:102234695-102235253:102235284-102236957:+	MX	-0.02736977184323508	0.4141483516	False
ENSMUSG00000001289;RI:15:102234868:102234970-102235253:102235284:+	RI	0.12079622139697192	0.2985014985	False
ENSMUSG00000001289;SE:15:102234695-102234868:102234970-102235253:+	SE	-0.008318444461867469	0.4141483516	False
ENSMUSG00000001289;SE:15:102234695-102234868:102234970-102236957:+	SE	-0.1536424305254157	0.2985014985	False
ENSMUSG00000001289;SE:15:102234970-102235253:102235284-102236957:+	SE	0.009172646277613827	0.4141483516	False
ENSMUSG00000001517;A3:6:128348048-128349494:128348048-128349497:+	A3	-0.06167418339446857	0.2311022311	False
ENSMUSG00000001517;A3:6:128348975-128349494:128348975-128349497:+	A3	-0.0001499896256866584	0.3951048951	False
ENSMUSG00000001517;SE:6:128348048-128348931:128348975-128349494:+	SE	0.2820517076683045	0.2311022311	False
ENSMUSG00000001517;SE:6:128348048-128348931:128348975-128349497:+	SE	0.0830518505193576	0.2311022311	False
ENSMUSG00000001521;SE:6:128314748-128325086:128325169-128332701:-	SE	-0.02443365362489352	0.2702297702	False
ENSMUSG00000001729;A3:12:112628768-112637950:112628742-112637950:-	A3	0.0	0.4400599401	False
ENSMUSG00000001729;AF:12:112638088-112640140:112640378:112638088-112640434:112640710:-	AF	-0.008538923451637828	0.4400599401	False
ENSMUSG00000001729;AF:12:112638088-112640140:112640378:112638088-112641156:112641318:-	AF	0.13597705966314638	0.4400599401	False
ENSMUSG00000001729;AF:12:112638088-112640434:112640710:112638088-112641156:112641318:-	AF	0.10513393366776913	0.4400599401	False
ENSMUSG00000001729;SE:12:112623425-112623502:112623630-112623702:-	SE	0.0018120433684262194	0.4400599401	False
ENSMUSG00000001847;AF:5:143502984-143503210:143503363:143502984-143503812:143503937:-	AF	0.005148576581824983	0.3711288711	False
ENSMUSG00000001847;AF:5:143502984-143503210:143503363:143502984-143513518:143513748:-	AF	0.015927665814391336	0.3711288711	False
ENSMUSG00000001847;AF:5:143502984-143503210:143503363:143502984-143513518:143513791:-	AF	0.09117464935722835	0.3711288711	False
ENSMUSG00000001847;AF:5:143502984-143503812:143503937:143502984-143513518:143513748:-	AF	0.008983678737725875	0.3711288711	False
ENSMUSG00000001847;AF:5:143502984-143503812:143503937:143502984-143513518:143513791:-	AF	-0.013251599267665504	0.3711288711	False
ENSMUSG00000001847;SE:5:143493913-143495352:143495408-143500424:-	SE	-0.011179058158897082	0.3711288711	False
ENSMUSG00000001855;A3:2:31928184-31929332:31928184-31929335:+	A3	0.0022794512915754947	0.4120879121	False
ENSMUSG00000001855;SE:2:31879151-31880247:31880373-31881276:+	SE	0.057736628302589965	0.4120879121	False
ENSMUSG00000001855;SE:2:31892690-31892893:31893042-31894325:+	SE	-0.0030320884345124144	0.4120879121	False
ENSMUSG00000001855;SE:2:31932581-31937415:31937586-31941021:+	SE	-0.013768675736164582	0.4120879121	False
ENSMUSG00000001910;A5:8:85402887-85402970:85402887-85403051:-	A5	0.029445213360635325	0.3200799201	False
ENSMUSG00000001910;AF:8:85403881-85413677:85413782:85403881-85413998:85414220:-	AF	0.44541669701537395	0.1228771229	False
ENSMUSG00000001910;AF:8:85403881-85413677:85413782:85403881-85414304:85414531:-	AF	0.1425820512430805	0.1568431568	False
ENSMUSG00000001910;AF:8:85403881-85413998:85414220:85403881-85414304:85414531:-	AF	-0.08507671597084593	0.2165334665	False
ENSMUSG00000001910;AF:8:85403881-85414019:85414220:85403881-85414304:85414531:-	AF	-0.0060860985419708	0.3736263736	False
ENSMUSG00000001924;AF:X:20524565:20524765-20534688:20525666:20525805-20534688:+	AF	0.0045615408298397275	0.3651348651	False
ENSMUSG00000001924;AF:X:20524565:20524765-20534688:20529137:20529364-20534688:+	AF	-0.024163393159041785	0.3651348651	False
ENSMUSG00000001924;AF:X:20525666:20525805-20534688:20529137:20529364-20534688:+	AF	-0.00920368708152922	0.3651348651	False
ENSMUSG00000001924;SE:X:20524765-20525439:20525535-20534688:+	SE	0.2721679051942355	0.2157842158	False
ENSMUSG00000002297;A3:5:8454916-8455802:8454913-8455802:-	A3	-0.0048866725389967725	0.457042957	False
ENSMUSG00000002297;AL:5:8446973:8448162-8449688:8448325:8448669-8449688:-	AL	0.007286857525481194	0.457042957	False
ENSMUSG00000002297;AL:5:8447011:8448162-8449688:8448325:8448669-8449688:-	AL	0.0006837688671195163	0.457042957	False
ENSMUSG00000002297;SE:5:8448162-8449688:8449812-8453080:-	SE	-1.9887678093244432e-07	0.457042957	False
ENSMUSG00000002365;SE:17:5891821-5920943:5921228-5937272:+	SE	0.0008933286969872792	0.4360639361	False
ENSMUSG00000002372;A3:17:57003789-57008023:57003789-57009763:+	A3	-0.0009653293581830674	0.4020979021	False
ENSMUSG00000002372;SE:17:56993061-56998745:56998882-56999521:+	SE	0.030912545892609538	0.3643023643	False
ENSMUSG00000002372;SE:17:56993061-56999521:56999721-57003602:+	SE	-0.19432129623156924	0.1018981019	False
ENSMUSG00000002372;SE:17:57013965-57014163:57014238-57014851:+	SE	-0.10811831256701543	0.1638361638	False
ENSMUSG00000002489;A3:16:89586479-89589890:89584053-89589890:-	A3	-0.005595558697758407	0.3676323676	False
ENSMUSG00000002489;AF:16:89752995-89757565:89757625:89752995-89770682:89770787:-	AF	0.2062523885120469	0.2074592075	False
ENSMUSG00000002489;AF:16:89752995-89757565:89757625:89752995-89771472:89771587:-	AF	0.029532157972923065	0.3154623155	False
ENSMUSG00000002489;AF:16:89752995-89757565:89757625:89752995-89776871:89776968:-	AF	-0.12744162198884912	0.3154623155	False
ENSMUSG00000002489;AF:16:89752995-89757565:89757715:89752995-89770682:89770787:-	AF	0.024797485001228303	0.3676323676	False
ENSMUSG00000002489;AF:16:89752995-89757565:89757715:89752995-89771472:89771587:-	AF	0.005953509083428591	0.3676323676	False
ENSMUSG00000002489;AF:16:89752995-89757565:89757715:89752995-89776871:89776968:-	AF	-0.0626995367331496	0.3676323676	False
ENSMUSG00000002489;AF:16:89752995-89770682:89770787:89752995-89771472:89771587:-	AF	-0.06221781570707477	0.3062937063	False
ENSMUSG00000002489;AF:16:89752995-89770682:89770787:89752995-89776871:89776968:-	AF	-0.2246028954175595	0.2074592075	False
ENSMUSG00000002489;AF:16:89752995-89771472:89771587:89752995-89776871:89776968:-	AF	-0.06737011062515752	0.3062937063	False
ENSMUSG00000002489;AL:16:89584004:89584053-89589890:89584746:89586479-89589890:-	AL	0.03889784380509866	0.3154623155	False
ENSMUSG00000002489;AL:16:89695239:89695466-89752824:89705109:89705603-89752824:-	AL	-0.008332835903326341	0.3676323676	False
ENSMUSG00000002489;AL:16:89695239:89695466-89752824:89705436:89705603-89752824:-	AL	0.2062523885120469	0.2074592075	False
ENSMUSG00000002489;SE:16:89695466-89705435:89705603-89752824:-	SE	-0.02888627596979465	0.3154623155	False
ENSMUSG00000002496;A3:17:24816111-24816179:24816037-24816179:-	A3	0.0	0.4458041958	False
ENSMUSG00000002496;A3:17:24823966-24825198:24823963-24825198:-	A3	0.0	0.4458041958	False
ENSMUSG00000002496;A3:17:24823966-24826411:24823963-24826411:-	A3	-0.24607680223659067	0.4458041958	False
ENSMUSG00000002496;A3:17:24851085-24851512:24851080-24851512:-	A3	-0.002271770907070869	0.453046953	False
ENSMUSG00000002496;A5:17:24849973-24850919:24849973-24850971:-	A5	-0.004374394562019046	0.453046953	False
ENSMUSG00000002496;A5:17:24851085-24851188:24851085-24851512:-	A5	0.0	0.453046953	False
ENSMUSG00000002496;RI:17:24816020:24816111-24816179:24816257:-	RI	0.05010714240475823	0.4458041958	False
ENSMUSG00000002496;SE:17:24819439-24820363:24820431-24821068:-	SE	-0.2991198911527637	0.4458041958	False
ENSMUSG00000002496;SE:17:24823966-24825198:24825326-24826411:-	SE	-0.2267304307499931	0.4458041958	False
ENSMUSG00000002797;A3:6:54963953-54966485:54963945-54966485:-	A3	-0.055614903594223164	0.2367632368	False
ENSMUSG00000002797;A5:6:54963953-54966397:54963953-54966485:-	A5	0.005691777210112978	0.3841158841	False
ENSMUSG00000002797;A5:6:54966542-54969555:54966542-54969680:-	A5	0.10059939639531101	0.2257742258	False
ENSMUSG00000002797;SE:6:54963953-54966397:54966542-54969680:-	SE	0.0013928024853633314	0.3841158841	False
ENSMUSG00000002870;A3:6:88869199-88869927:88869177-88869927:-	A3	0.0	0.4225774226	False
ENSMUSG00000002870;A3:6:88874498-88875627:88874373-88875627:-	A3	-0.03662549537164439	0.3199300699	False
ENSMUSG00000002870;SE:6:88870495-88874269:88874498-88875627:-	SE	0.1591678419057898	0.1198801199	False
ENSMUSG00000003068;A3:10:79962936-79963738:79962936-79963792:+	A3	0.0028192268213736993	0.4105894106	False
ENSMUSG00000003068;A5:10:79952741-79960636:79952550-79960636:+	A5	-0.0394300745060453	0.2803862804	False
