0	event_type	dPSI_control	p_diffsplice	zsa
ENSMUSG00000000028;SE:16:18626173-18627482:18627619-18629139:-	SE	-0.2007177980401696	0.023976024	True
ENSMUSG00000000037;A3:X:159985093-159992191:159985093-159992194:+	A3	-0.009236491179720141	0.3438379802	False
ENSMUSG00000000037;A3:X:160017692-160020476:160017692-160020488:+	A3	-0.06477543429814014	0.3438379802	False
ENSMUSG00000000037;AL:X:160029363-160038026:160038655:160029363-160039562:160039896:+	AL	0.0097429733352886	0.3438379802	False
ENSMUSG00000000037;SE:X:160004745-160006153:160006236-160007457:+	SE	0.0	0.3438379802	False
ENSMUSG00000000037;SE:X:160006236-160007457:160007540-160008873:+	SE	0.0	0.3438379802	False
ENSMUSG00000000037;SE:X:160006236-160008873:160008956-160017609:+	SE	0.0	0.3751248751	False
ENSMUSG00000000037;SE:X:160013170-160014396:160014479-160017609:+	SE	0.0	0.3438379802	False
ENSMUSG00000000037;SE:X:160029363-160038026:160038177-160039562:+	SE	0.20800906819502263	0.2697302697	False
ENSMUSG00000000088;RI:9:57436239:57436355-57437524:57437645:+	RI	0.0006446289596029001	0.3276723277	False
ENSMUSG00000000131;A3:7:125704106-125704273:125703961-125704273:-	A3	-0.025658905590953685	0.3084415584	False
ENSMUSG00000000131;A3:7:125708072-125709086:125708027-125709086:-	A3	-0.062950775578002	0.3084415584	False
ENSMUSG00000000131;A3:7:125728812-125730198:125728809-125730198:-	A3	-0.42037470697503376	0.3084415584	False
ENSMUSG00000000131;A5:7:125708072-125709086:125708072-125709126:-	A5	0.20028893926536095	0.3084415584	False
ENSMUSG00000000131;RI:7:125706243:125706404-125707624:125707795:-	RI	-0.00291234407013295	0.3096903097	False
ENSMUSG00000000131;SE:7:125701562-125702251:125702362-125703876:-	SE	0.13547560225770441	0.3084415584	False
ENSMUSG00000000131;SE:7:125730306-125739737:125739846-125748406:-	SE	-0.06946964723983662	0.3084415584	False
ENSMUSG00000000131;SE:7:125748532-125748676:125748709-125751998:-	SE	-0.0073533334090943	0.3084415584	False
ENSMUSG00000000131;SE:7:125752451-125755896:125755973-125760033:-	SE	0.0	0.3084415584	False
ENSMUSG00000000131;SE:7:125768498-125770202:125770314-125773330:-	SE	0.0	0.3084415584	False
ENSMUSG00000000131;SE:7:125770314-125773330:125773420-125799071:-	SE	0.0	0.3084415584	False
