0	event_type	dPSI_control	SRR30827713	SRR30827730	SRR30827783	SRR30827776	SRR30827778	SRR30827772	SRR30827782	SRR30827770	SRR30827719	SRR30827779	SRR30827775	SRR30827763	SRR30827781	SRR30827771	SRR30827741	SRR30827780	SRR30827752	SRR30827784	SRR30827785	SRR30827786	SRR30827773	SRR30827714	SRR30827774
ENSMUSG00000046679;A5:6:86415829-86420709:86415776-86420709:+	A5	0.8953808100252679	0.0	0.0205175455703436	0.0	0.9780786564178372	0.0	1.0	0.8830389819131501	0.9999999998833634	0.0522956793065249	1.0	0.6973678163763817	0.1724361229931788	0.9999993351439492	1.0	0.0156257158042832	1.0	0.0496796164242435	0.0763289707684026	0.0591498649802017	0.0121901245089414	0.6345069493738228	0.024327798731128	0.0577389644737056
ENSMUSG00000046679;A5:6:86416240-86420709:86415776-86420709:+	A5	0.8590778064872142	0.0170915602429908	0.0145628375612397	0.0358453192515337	0.9259496745472916	0.2581287753306355	1.0	0.974492008260086	0.999999999899819	0.0537476231241236	1.0	0.599936445554051	0.352066569690975	0.9999995496981234	1.0	0.0446878804948977	1.0	0.0506161987845999	0.0986582669584501	0.0715978827164059	0.0272880521746986	0.8449439784539285	0.1053454805873152	0.0872278274272732
ENSMUSG00000007656;AF:9:74945000:74945243-74959515:74959259:74959285-74959515:+	AF	0.8112413651898455	0.263146519594658	0.0932615937703534	0.1532349635199126	0.3364453414659983	0.3232453470569789	1.0	1.0	0.6408943737692242	0.1013135291685253	0.7183861654987567	0.2837354737210496	0.1605541705449562	1.0	0.8809294397313749	0.0658781467609214	1.0	0.0611119046540713	0.040149774165335	0.1405982578486218	0.1145651911197048	1.0	0.0822750434413723	0.0577030852260921
ENSMUSG00000001289;AF:15:102234624:102234695-102236957:102234818:102234970-102236957:+	AF	0.7245357792710676	0.0	0.0	0.0	0.1615029382853523	0.0	0.9275835854428184	0.9129816624342166	0.9409007989499868	0.0	0.7636422933367174	0.3596045847041589	0.3788951678211514	0.9450956713652168	0.4493230595717054	0.0	0.977600834974683	0.0	0.0	0.1257392537996281	0.1678250867933049	0.8058007116886415	0.0	0.0287178366124788
ENSMUSG00000019818;AF:10:41395497:41395696-41397914:41395888:41395946-41397914:+	AF	0.6652734769213537	1.0	1.0	1.0	1.0	0.6028505960612515	0.1616064241542028	1.0	0.0774802204248023	1.0	0.0521496311004366	1.0	0.1991505600671276	1.0	1.0	0.0202847774748626	1.0	0.0754543395064824	0.0434328977203954	0.0889500495679358	0.0728325286593597	0.0944892220650102	0.0332986506594711	0.0301225851205986
ENSMUSG00000053453;RI:14:8515107:8515197-8516225:8516352:+	RI	0.6386966952459682	0.0098743633143429	0.0200373410151155	0.0586101685865937	0.48476205878802	0.4655447548432924	0.9007261979591564	0.8082184560055874	0.9496282253843552	0.0261087352579001	0.7718850845471876	0.5629835298653252	0.1360940387673529	0.8695888245803558	0.6945307745500965	0.1145909316256319	0.9709026612983912	0.0431618425902252	0.0300913400043442	0.296463293717557	0.2253783417092429	0.8252205396552148	0.0770049240182628	0.2078725712534964
ENSMUSG00000022940;AL:16:94159622:94160033-94166214:94165306:94165646-94166214:-	AL	0.6343630447890789	0.0563998423842736	0.0286625080397826	0.0281762379269097	0.2789208249106166	0.2570262617999144	0.5209342656359057	0.5245983150620326	0.3746941807401063	0.019335465858491	0.534012126841324	0.139541384190438	0.061629966280667	0.9006207945998927	0.2856743871500469	0.0188606484536158	0.737660604398839	0.0124034915880901	0.0099218828877022	0.0308430352317314	0.020003203952998	0.4621788663293884	0.0113504698479289	0.0469634562803763
ENSMUSG00000034391;AF:18:84953283:84953305-84975445:84970241:84970383-84975445:+	AF	0.6338827140351684	0.0	0.0	1.0	0.4105489204599549	0.7977844008131301	0.9742422706762948	0.941780415430267	0.909893448631192	1.443578604636478e-06	0.9187201904308424	0.636298823472131	0.4168050739256088	0.9846276362646617	0.9412604779421844	0.0	0.960307456402526	0.0	0.0	0.7630695007125566	0.0297193995783275	0.9000931828999322	0.0	0.0603108681711301
ENSMUSG00000070837;A5:7:6998833-6999267:6998547-6999267:+	A5	0.6252587451581231	0.5158262341470504	0.2871567085862512	0.2225074015496326	0.9494717092243746	0.9999999996330492	0.8410634336383533	1.0	1.0	0.1669709706909903	0.7332891477709659	0.8491560820745363	0.3892991851820459	0.9183141497864494	1.0	0.2472350539929402	1.0	0.1998807106002117	0.2291720639209809	0.2556915171364287	0.1917122437101323	0.7990011531030691	0.1628371637827083	0.3138653708963159
ENSMUSG00000022433;AF:15:79323059-79325421:79326018:79323059-79339691:79339767:-	AF	0.6109728376974466	0.5338927772470929	0.1837937345868162	0.1400424171679142	0.865065000137562	1.0	0.9502251356171107	0.8983663268415589	0.9393406101947946	0.1234752211692112	0.7538357288063054	0.5285788647373414	0.5695852045475749	0.9704705658780618	1.0	0.2172967472795736	0.9405563387949996	0.2925080185393265	0.1944545704708822	0.3655569195652857	0.1260271319451335	0.9508038148788432	0.1371744089211569	0.0581683534731453
ENSMUSG00000054469;A5:17:73415172-73468818:73415151-73468818:+	A5	0.6063732391638192	0.2957638920408085	0.2279675856030994	0.3609020998246808	0.2867402666081091	1.0	1.0	0.9761037792929392	0.7965403004178745	0.3383282324416709	0.8391979100204109	0.4434339190453009	0.4495216090696403	0.99381573093	1.0	0.2162746899183463	0.9725113010299108	0.4422891641297857	0.1800601923218087	0.2382212221626483	0.3731237223894536	0.967445408867999	0.2472213777503828	0.2952692109962414
ENSMUSG00000040167;AL:7:130990381:130994309-130995484:130994376:130994448-130995484:-	AL	0.5953589588980909	0.2162551476183008	0.2506148390903302	0.8175576321985006	0.75691615245216	0.4115903188701396	0.94233743001249	1.0	0.6964077559297319	0.2609949142941581	0.6669707042544888	0.724721171237347	0.3049186055493034	1.0	1.0	0.4713452479269814	1.0	0.390412363064376	0.4450050761967949	0.4562036002890742	0.3543197773850402	1.0	0.6543347134537819	0.1700928854387075
ENSMUSG00000038845;AF:11:95557836:95557868-95558863:95557890:95557965-95558863:+	AF	0.5799654283710957	0.4424004037523331	0.143385355271997	0.4698383364884762	0.4937972856577507	0.9235007055458128	0.5016011042647053	1.0	0.136757362310106	1.0	0.219949054967979	0.5503356409376947	0.1507997982643028	0.998453763653164	0.5272784537602649	0.6218620039303394	0.7233611030822348	0.2745089470256701	0.1581768581181572	0.3263672316659915	0.0874425549788688	0.1132659818990351	0.0586441185914588	0.0572926233098323
ENSMUSG00000022940;AL:16:94159622:94160033-94166214:94165494:94165646-94166214:-	AL	0.5794836758040032	0.6828546383677123	0.7602341849597386	0.530355817194358	0.8591999653243723	0.7879682070363436	0.9336064182222628	1.0	0.8043930958642815	0.3130306194912068	1.0	0.5424291752716826	0.447669923988874	1.0	0.821075437404861	0.2790313076825413	0.984105859428031	0.2447524499224657	0.226260979517361	0.4912399622699706	0.3132662668063005	0.929725861154453	0.4107261387281079	0.4139950031468731
ENSMUSG00000022433;AF:15:79323059-79325421:79326018:79323059-79326128:79326203:-	AF	0.5787361542932864	0.6955702330515008	1.0	1.0	1.0	0.6561257007152128	1.0	1.0	0.74038821292406	0.235539187274917	0.7921735100148539	1.0	1.0	1.0	1.0	0.0877547799064917	0.9822822688706686	0.570735516060997	0.0659007309608964	0.355449824867106	0.0888027180052685	0.99989069020456	0.0309411578905983	0.0152586188400023
ENSMUSG00000029465;AF:5:122529941:122530060-122534880:122533877:122533949-122534880:+	AF	0.5711735474167021	0.0598707725062268	0.2341012154792794	0.1268728455747329	0.0	0.3040752882180038	0.8304485371411815	0.4897981903307007	0.3773651181799144	0.164922149919578	0.7589292570755722	0.4648477015529312	0.0849586224272651	0.8632862201865534	0.502045535396656	0.1749035390148089	0.8695434348436059	0.1961250100616732	0.1308979442016639	0.3088524619090051	0.0909644317612517	0.4525820738779051	0.1854203166224526	0.2120873966721019
ENSMUSG00000029836;AF:6:51447340:51447411-51448796:51447675:51447714-51448796:+	AF	0.5539197408100631	0.0078829289904488	0.0133273760125416	0.022929378707897	0.1098833949994394	0.0191065520305007	0.99718880484452	0.2569617656439208	0.9362040907775316	0.0073089045507661	0.1409227874242645	0.0603811936757781	0.1142276222835897	0.959382786981663	0.1273218242282925	0.0088513019875195	0.9968208802856516	0.0229040048428341	0.0	0.0	0.0146235436392518	0.05317744121132	0.0019335782927351	0.0095580911724061
